Word,Word Transliteration,Sentence,Sense,Meaning Word,Part of Speech,Sentence Translation,Definition
అంటు,aMTu,ఆకాశాన్ని చూస్తూ ఈ విశ్వం అనంతం అనే సత్యాన్ని తలచుకుంటూ అసలు అదెలా సాధ్యం అంటు తెగ ఆశ్చర్య పడేవాడిని.,0,Saying,Noun,"Seeing the sky, They are surprised by saying that this universe is the truth of infinite","A short, commonly known phrase that gives advice or expresses a general truth."
అంటు,aMTu,"పుష్కరాల వల్ల పాప నాశనం కాదు చర్మ వ్యాధులు, అంటు రోగాలు ప్రభలుతాయి.",1,Touch/ Infectious,Noun,Skin diseases and infectious diseases are not destroyed by flowers.,The act of coming into contact with something or someone.
అడుగు,aDugu,మీ అభిప్రాయం గురించి అడుగు.,0,Ask,Verb,Ask about your opinion.,To request information or seek an answer from someone.
అడుగు,aDugu,తెలంగాణ మార్పులో ఒక అడుగు ముందే ఉంటుంది.,1,Step,Noun,Telangana change is one step in advance.,A single movement of the foot in walking or running.
అంతస్తు,aMtastu,5వ అంతస్తు నుంచి కిందకు దూకి ఆత్మహత్యాయత్నం చేశాడు.,0,Storey/ floor,Noun,He jumped from the 5th floor and attempted suicide.,A level or floor in a building.
అంతస్తు,aMtastu,రాజకీయ నాయకులంతా తమ అంతస్తు కోసం పోటీ పడతారు.,1,Status,Noun,All politicians compete for their status.,The social or professional standing of someone or something.
అసలు,asalu,మనోడు మాత్రం అసలు ఒక క్యూట్ లవ్ స్టోరీతో కామెడీగా చంపేశాడంతే.,0,Really/Actually,Adverb,"Actually, our guy killed a comedy with a cute love story.",Used to emphasize the truth or reality of a situation.
అసలు,asalu,అతను తన అసలు సొమ్మును కంపెనీలో పెట్టుబడి చేసాడు.,1,Principal Amount/Original Amount ,Noun,He invested his original money in the company.,"The original sum of money borrowed or invested, excluding interest."
ఆట,ATa,నిన్న ఆ ఆట చూడడం నాకు సంతోషం కలిగించింది.,0,Dance/show,Noun,It made me happy to watch that show yesterday.,"A performance involving movement, often to music, or any public display."
ఆట,ATa,2007 ఆగ్నేయ ఆసియా క్రీడలలో పోలో ఆట చేర్చబడింది.,1,Sport,Noun,The Polo game was included in the 2007 Southeast Asian Games.,An activity involving physical exertion and skill in which an individual or team competes against another or others.
ఆత్రుత,Atruta,విమానం ఎక్కేముందు మితిమీరిన ఆత్రుత పనికిరాదు .,0,Anxious,Adjective,Excessive anxiety is useless before boarding the plane.,"Experiencing worry, unease, or nervousness."
ఆత్రుత,Atruta,"ఈ కోవలో సస్పెన్స్, ముందేం జరుగుతుందన్న ఆత్రుత కరువై పోయాయి.",1,Eagerness,Noun,"In this category, the suspense and the eagerness of pre -happening.",Enthusiastic desire or interest.
ఆసు,Asu,ఆసు యొక్క కర్రలు బలంగా ఉండాలి.,0,Looming Eqipment,Noun,The looming equipment of sticks should be strong.,Tools or machinery used for weaving textiles.
ఆసు,Asu,ఆసు అతనికి విజయాన్ని ఇచ్చింది.,1,Ace (in cards),Noun,Ace gave him success.,"The card with a single pip, typically considered the highest or lowest in a deck."
ఉత్తరం,uttaraM,"తెరిచి చూస్తే అందులో కొన్ని ఎండు ఖర్జూరాలు, ఒక ఉత్తరం వున్నాయి.",0,Letter,Noun,Opening it has some dried kharjuras and a letter.,A character representing one or more of the sounds used in speech; also a written message.
ఉత్తరం,uttaraM,ఇది ఉత్తరం వైపు తెలంగాణా రాష్ట్రానికి చివరి జిల్లా.,1,North,Noun,This is the last district of Telangana state on the north.,"One of the four cardinal directions, opposite to south."
ఎద,èda,తన ఎద అందాలపై ఎలాంటి ఆచ్చాదన లేకుండా కేవలం చేతులని అడ్డుపెట్టుని వీడియో చేసింది.,0,Chest,Noun,The video was made to interfere with his hands without any impact on her chest beauty.,The front surface of a person’s body between the neck and the abdomen.
ఎద,èda,ఫలితంగా పవన్ కల్యాణ్ పచ్చబొట్టును తన ఎద పక్కన పూనమ్ కౌర్ పొడిపించుకుంటున్నారు.,1,Heart,Noun,"As a result, Poonam Kaur is getting Pawan Kalyan's tattoo next to her heart.",The organ in your chest that pumps blood through your veins and arteries.
కట్ట,kaTTa,"అయితే, మనుగడకోసం ఎంతో కొంత రాజీ పడే ధోరణి కాస్తా అడ్డూ అదుపూ లేకుండా పెరిగిపోయి ఇతరేతర రంగాల్లో వుండే అవలక్షణాలన్నీ కట్ట గట్టుకుని ఈ రంగంలో ప్రవేశించాయి.",0,Bundle,Noun,"However, the tendency to survive has increased in the field, which has become a bit of a compromise.",A collection of things wrapped or tied together.
కట్ట,kaTTa,"కృష్ణా నది కట్ట పైన పర్యాటకుల సంఖ్య పెరుగుతోంది, దీంతో స్థానిక వ్యాపారాలు పుంజుకున్నాయి.",1,bank/shore/dam/embankment,Noun,"The number of tourists on the Krishna River bank is increasing, leading to local businesses.",The land alongside or sloping down to a river or lake; a barrier constructed to contain the flow of water.
కమ్మ,kamma,రాష్ట్రంలో అత్యధికంగా కమ్మ వారు ఉండే విజయవాడలో కచ్చితంగా జగన్ కథ అంతే అనుకున్నారంతా.,1,Regional Community,Noun,"In Vijayawada, where there is a majority of Kamma community people in the state, Jagan's story is exactly what everyone thought.",A group of people living in the same area or having a common cultural or social connection.
కమ్మ,kamma,ఆ వంటకారుని ప్రసిద్ధి కమ్మ రుచికి సంబంధించినది.,2,Subtle Taste,Adjective,The chef is famous for his subtle/good taste.,A delicate or refined flavor.
కమ్మ ,kamma,ప్రముఖ డిజైనర్ రూపొందించిన కమ్మ లతో మోడల్స్ రాంప్ పై మెరిసిపోయారు.,0,Earring,Noun,Models dazzled on the ramp in earrings created by the famous designer.,A piece of jewelry worn on the ear.
కళ ,kaLa,కళ రంగం నేటి సమాజానికి మార్గదర్శకంగా ఉన్నది.,0,Art/Skill,Noun,The art sector is a guide to today's society.,The expression or application of human creative skill and imagination.
కళ ,kaLa,వజ్రాలు తమ కళ తో ప్రదర్శనలో మెరిసిపోయాయి.,1,Ray of light/brightness/Radiance,Noun,The diamonds shone in the show with their brightness.,A line or beam of light.
కాంతి,kAMti,65 లక్షల కాంతి సంవత్సరాల దూరంలో ఉంది.,0,Light,Noun,65 million light years away.,The natural agent that stimulates sight and makes things visible.
కాంతి,kAMti,పచ్చని చీరలో ఆమె కాంతి ఎంతో విశాలంగా ఉంది.,1,brilliancy/ lustre/ gleam,Noun,Her lustre in the green saree is very broad.,A shiny or luminous quality.
కాపు,kApu,"కాపు రిజర్వేషన్లపై ఓసారి కావాలని, ఇప్పుడు కుదరదని జగన్ మాట మారుస్తున్నారన్నారు.",1,Regional Commuity,Noun,Jagan's word is changing not to be once again on the Kapu community reservation.,A group of people connected by geography or cultural ties.
కాపు ,kApu,"పిల్లలకు కాపు గా ఉన్నప్పుడు తల్లిదండ్రులు సంతోషిస్తారు, ఎందుకంటే వాళ్లకు భద్రత కల్పించారు.",0,Protection,Noun,"Parents are happy when they are protectors for children, as they are secured.",The action of safeguarding someone or something.
కారు,kAru,అతడిని నమ్మి కారు ఎక్కాను.,0,Car,Noun,I boarded a car believing him.,"A road vehicle, typically with four wheels, powered by an internal combustion engine or electric motor."
కారు,kAru,కారు మేఘాలు కమ్ముకోవడం వలన వాతావరణం చల్లబడింది.,1,Black Colour,Noun,The weather cooled due to black clouds.,"The darkest color, resulting from the absence or complete absorption of light."
కూలి,kUli,ఆ తర్వాత రైతు కూలి సంఘం అమరులైన గిరిజనుల స్మారక స్థూపాన్ని నిర్మించింది.,0,Labour Charges or Labour,Noun,The farmer labour union then built a commemorative stupa of the tribal community.,The cost or act of physical work or toil.
కూలి,kUli,మంగళవారం భండార జిల్లాలో భారీ వర్షానికి ఇల్లు కూలి ఒకే కుటుంబానికి చెందిన ముగ్గురు మృతి చెందారు.,1,Destroyed,Verb,Three members of the same family died after their house collapsed due to heavy rain in Bhandara district on Tuesday.,Ruined or demolished.
కొట్టు ,kòTTu,నిన్న రాత్రి కొట్టు యజమానిని అప్రమత్తం చేయడం ద్వారా దొంగతనాన్ని నివారించారు.,0,Shop,Noun,Last night the theft was prevented by alerting the shop owner.,A place where goods or services are sold.
కొట్టు ,kòTTu,నిందితుడి కొట్టు లో భద్రతా సిబ్బంది కఠిన నిఘా ఏర్పాటు చేశారు.,1,Prison Cell,Noun,Security personnel have been rigorous surveillance in the accused cell.,A small room in which a prisoner is locked up.
కొమ్ము,kòmmu,ఈ కొమ్ము ద్వారానే ప్రవర్థనం చెందుతుంది.,0,Horn,Noun,This horn can be translated itself.,"A hard permanent outgrowth, often curved and pointed, found in pairs on the heads of some animals."
కొమ్ము,kòmmu,"ఈ కథలు రాసేవాళ్ళూ, వాళ్ళ కొమ్ము కాసేవాళ్ళూ నింగినీ నేలనీ నిలవకండ అదిరిపడుతున్నారు.",1,Support,Noun,The people who write these stories and those who support them are pushing themselves to the ground.,To bear all or part of the weight of something; hold up.
క్షేత్రము,kShetramu,ఈ క్షేత్రము కొవ్వూరుకు 25 కి.మీ.,0,A sacred spot,Adjective,This sacred spot is 25 km away.,A place regarded with great respect or reverence.
క్షేత్రము,kShetramu,ఆత్మకు తన ఒక్క శరీర క్షేత్రము గురించే తెలుసు.,1,Field,Noun,The soul knows about his one body field.,"An open area of land, especially one planted with crops or pasture."
గజం,gajaM,గజం తన గొప్ప శరీరంతో చెట్లు కూల్చివేస్తుంది.,0,Elephant,Noun,The elephant tear down the trees with its great body.,"A large mammal with a trunk, native to Africa and southern Asia."
గజం,gajaM,ఇక్కడ గజం 45 వేల నుండి 50 వేల వరకు ఉంది.,1,Yard/Sq.Yard,Noun,The yard here ranges from 45 thousand to 50 thousand.,A unit of measurement equal to three feet or 0.9144 meters.
గడ్డ,gaDDa,గడ్డ కట్టుకుని పోయిన రక్తం బైటికి దుమకడానికి సిద్ధంగా ఉంది.,0,Clot/Clump,Noun,The clotted blood is ready to flow out.,"A thick mass of coagulated liquid, especially blood, or a lump or cluster of something."
గడ్డ,gaDDa,తెలంగాణ గడ్డ పోరాటాలకు నెలవుగా చెప్పుకోవచ్చు.,1,Land/Country,Noun,Telangana can be said to be the month of land struggles.,"The part of the earth’s surface that is not covered by water, or a nation with its own government."
గాజు,gAju,గాజు గ్లాసులు మీద పడ్డాయి.,0,Glass,Noun,The glass glasses fell on me.,"A hard, brittle substance typically transparent or translucent, used in windows, bottles, and other objects."
గాజు,gAju,"చెల్లికి ఆ గాజు ఇచ్చింది, అది చూసి ఆమె చాలా హర్షించింది.",1,Bangle,Noun,"She gave the bangle to the sister, and she looked very excited.",A rigid bracelet or anklet.
గుండు ,guMDu,ఆ టెన్నిస్ గుండు తో ఆటగాళ్లు కఠినంగా పోరాడి విజయం సాధించారు.,0,cylindrical/spherical object/ball,Noun,The players fought hard with that tennis ball and won.,An object shaped like a cylinder (with straight parallel sides) or a sphere (completely round).
గుండు ,guMDu,"యాత్రలో పాల్గొన్న భక్తులు గుండు తీయించుకుని, తమ పునీతత్వాన్ని వ్యక్తం చేశారు.",1,Shaven head,Noun,Devotees who participated in the trip were shaved and expressed their saints.,A head from which hair has been completely shaved.
చిత్రము,chitramu,సుమారు రెండు గంటల పరిమితి గల చిత్రము స్వర్గసీమ.,0,Movie/picture,Noun,"Heavenly, a movie/picture of about two hours of limit.",A film or motion picture.
చిత్రము,chitramu,ప్రతి ఒక్క పాత్రకు ఒక చిత్రము ఉంది మరియు ఒక వివరణాత్మక పరిచ్చేదము కూడా.,1,Painting,Noun,For every single character there is a painting and also a detailed accomplishment.,"A visual representation of a scene, person, or thing, typically created with paint on canvas."
చుక్క,chukka,ఒక్క చుక్క నీటిని వృథా పోనీయనన్నారు.,0,Dropplet/drop,Noun,A single drop of water should not be wasted.,A small round or pear-shaped portion of liquid that falls or is formed.
చుక్క,chukka,చుక్క వెలుగు నా దారిని వెలుగులతో నింపుతుంది.,1,Star,Noun,A star light illuminates my path.,"A luminous point in the night sky, large luminous sphere of plasma."
చుట్ట,chuTTa,"చుట్ట తాగే సమయంలో, ఆయన సముద్రపు అలలను చూస్తూ ఉండేవాడు.",0,Cigar,Noun,"While taking cigar, he used to watch the ocean waves.",A cylinder of tobacco rolled in tobacco leaves for smoking.
చుట్ట,chuTTa,భూమిని చుట్ట చుట్టి తన జేబులో పెట్టుకున్న భయంకర రాక్షసుడు.,1,Roll/wrapped,Noun,He is a terrible monster who wrapped the earth in his pocket.,To move or cause to move in a particular direction by turning over and over on an axis.
ఛాయ,ChAya,వీరి చర్మ ఛాయ నల్లగా ఉన్నప్పటికీ వీరి మనస్సు చాలా స్వచ్ఛంగా ఉంటుంది.,0,Colour,Noun,"Although their skin shade is black, their mind is very pure.",The property possessed by an object of producing different sensations on the eye as a result of the way it reflects or emits light.
ఛాయ,ChAya,ఇద్దరి లోనూ విప్లవ ఛాయ గోచరిస్తుంది.,1,Shade/shadow,Noun,The revolutionary shade is visible in both of them.,A comparative darkness and coolness caused by shelter from direct sunlight.
తార,tAra,బాలీవుడ్ అందాల తార ఐశ్వర్యరాయ్ కూడా కంటతడి పెట్టుకొన్నారు.,0,beautiful woman,Noun,Bollywood beauty star Aishwarya Rai is also in trouble.,A woman admired for her beauty.
తార,tAra,తార ల కాంతి భూమిపై పడుతూ ప్రకృతి రంగులను వెలుగులోకి తెస్తుంది.,1,Star,Noun,The light of the stars lies on the earth and lights the colors of nature.,A celebrity or prominent figure.
తాళం,tALaM,తలుపుకు తాళం వేసి బయటకు వెళ్లిపోయాడు.,0,Lock,Noun,He locked the door and went out.,"A device used to secure something, typically a door, by fastening it shut."
తాళం,tALaM,నిన్న జరిగిన సంగీత సదస్సులో తాళం పై ప్రముఖ సంగీతకారులు మాట్లాడారు.,1,Musical Rhythm,Noun,"At yesterday's music conference, prominent musicians spoke on the musical rhythm.","A strong, regular repeated pattern of sound."
తీర్థం,tIrthaM,"తిరుపతికి ఉత్తరంగా, తిరుపతి కొండలకు ఆనుకుని అలిపిరి దిగువకు వెళ్తే మనోహరమైన ఈ తీర్థం కనిపిస్తుంది.",0,Pilgrimage,Noun,"If you go north of Tirupati, along the Tirupati Hills and below Alipiri, you will find this lovely pilgrimage.",A journey to a sacred place for religious reasons.
తీర్థం,tIrthaM,అయితే ఈ ఎన్నికల సీజన్లో ఆమె తన భర్త పనిచేస్తోన్న కాంగ్రెస్ పార్టీని కాదని కాషాయ తీర్థం పుచ్చుకున్నారు,1,Being a member of a group/Taking Membership,Noun,"But in this election season, She said that she is not the Congress party that her husband is working for and took membership of kasha.",Being a member of a group/Taking Membership
దక్షిణ,dakShiNa,గృహప్రవేశం పూర్తయిన తరువాత దక్షిణ కోరుకొమ్మంటుంది పార్వతీదేవి.,0,Gift,Noun,"After entering the house, Goddess Parvati seeks the gift.",Something given willingly to someone without payment.
దక్షిణ,dakShiNa,"ఈ మొక్క దక్షిణ భారతదేశంలో కన్నా, ఉత్తర భాగాన ఎక్కువగా పెరుగుతుంది.",1,South,Noun,This plant grows more in northern India than in southern India.,"One of the four cardinal directions, opposite to north."
దర్శనం,darshanaM,ఆలయంలో అమ్మ దర్శనం చేసుకుని అందరం వసుంధరక్కయ్య దగ్గరకు చేరుకున్నాం.,0,Visiting,Noun,"After seeing Amma in the temple, we all reached Vasundharakkaya.",The act of going to see someone or a place.
దర్శనం,darshanaM,ఈ ఆలోచనలను సమకాలీన సామాజిక పరిస్థితులకు అన్వయం చేసి ఈ దేశానికి ఒక దిశ దర్శనం చూపించింది రాష్ట్రీయ స్వయంసేవక సంఘము.,1,Show,Noun,These ideas were applied to contemporary social conditions and showed a direction to this country.,A performance or display.
దళం,daLaM,యుపీఏ హయాంలో భారత వైమానిక దళం ఆమోదం తెలిపిన తరువాతే ఫ్రాన్స్,0,Force/Army,Noun,France after the Indian Air Force approved the UPA regime,An organized military force equipped for fighting on land.
దళం,daLaM,రైతు సంఘం నాయకులు మద్ధులు మాట్లాడుతూ కర్నూలు జిల్లాలో లింగాల బుర్రకథ దళం ఆదర్శమని చెప్పారు.,1,Group,Noun,Farmers' Union leaders have said that the Lingala Burkatha group in Kurnool district is ideal.,"A number of people or things that are located, gathered, or classed together."
దారి ,dAri,కొండల మధ్య ఎత్తైన దారి పై నిర్మాణ పనులు ప్రారంభమయ్యాయి.,0,Path/Route,Noun,Construction work began on the high path between the hills.,A way or track laid down for walking or made by continual treading.
దారి ,dAri,విద్యార్థులు విజయం సాధించేందుకు సరైన దారి అవలంబించాలని ఉపాధ్యాయులు సూచించారు.,1,Method/way off,Noun,Sports have been recognized as a way to boost enthusiasm among the youth.,"A way of doing something, especially a systematic way."
దిక్కు,dikku,"ఒక మార్గానికి నాలుగు మూలలు, నాలుగు దిక్కులు ఉంటే కేవలం ఒక్క మూల కాని, ఒక్క దిక్కు గాని చూపిస్తారు.",0,Direction,Preposition,"If there are four corners and four directions per path, you can show only one corner or one direction.",A course along which someone or something moves.
దిక్కు,dikku,"ఒక్క పెద్ద దిక్కు కోల్పోయిందని, దాసరి మృతి చెందడం బాధిస్తోందని యాంకర్ సుమ, నటుడు రాజీవ్ కనకాల దంపతులు పేర్కొన్నారు.",1,Support,Noun,The couple of anchor Suma and actor Rajeev Kanakala said that they have lost a big support and Dasari's death is painful.,To bear all or part of the weight of something; hold up.
ధర్మం,dharmaM,సనాతన ధర్మం నేడు అధర్మం అవుతున్నది.,1,Ancient axiom,Noun,The Ancient axiom is worse today.,"A statement or proposition regarded as being established, accepted, or self-evidently true."
ధర్మం,dharmaM,"నీకు తెలియని విషయం కాదు, స్నేహం చేసేటటువంటివాడికి ఒక ధర్మం ఉంది.",0,duty,Noun,"It is not a thing you don't know, but a friendship has a virtue.",A moral or legal obligation; a responsibility.
నవ,nava,ఆ శబ్దం పంకజమ్మ నవ నాడుల్లో ప్రవేశించింది.,0,Nine,Noun,That sound entered Pankajamma's nine nerves.,The number equivalent to the sum of eight and one; 9.
నవ,nava,"టెట్ రాసిన నవ వధువు, నవ మాత",1,New,Noun,"New bride, New mother wrote TET.","Not existing before; made, introduced, or discovered recently."
పక్షం,pakShaM,అదేమంటే ఆ పక్షం ప్రభుత్వం ఏర్పాటుకు అనుచిత విధానాలు అనుసరిస్తోందన్నారు.,0,Party,Noun,"Similarly, the party is following inappropriate policies for the formation of the government.","A social gathering of invited guests, typically involving eating, drinking, and entertainment."
పక్షం,pakShaM,ప్రతి నెల హిందూ కాలెండర్ ప్రకారం శుక్ల పక్షం మరియు కృష్ణ పక్షముల నందు రెండు చవితులు వస్తుంటాయి.,1,forthnight,Noun,Every month there are two Chavits Shukla and Krishna fortnights according to Hindu calendar.,A period of two weeks.
పక్షం,pakShaM,పాలకులు ప్రజల పక్షం ఉండాలని కోరుకుంటడు.,2,Side,Noun,The rulers want to be on the side of people.,A position to the left or right of an object or place.
పటం ,paTaM,పండుగ సందర్భంలో దేవాలయంలో పుష్పాలంకృత పటం సుగంధాన్ని వెదజల్లుతోంది.,0,Image/Picture,Noun,"In the case of the festival, the floral map/image is dispersed in the temple.",A visual representation of something.
పటం ,paTaM,పటంగుల పోటీల్లో పసుపు రంగు పటం లు ప్రథమ స్థానంలో నిలిచాయి.,1,Kite,Noun,The yellow kite tops the ranks in the Kites competitions.,"A toy consisting of a light frame with thin material stretched over it, flown in the wind at the end of a long string."
పట్టు,paTTu,పట్టణాభివృద్ధిపై ప్రభుత్వం పట్టు బిగించింది.,0,Grip/Hold,Noun,The government has been holding up on urban development.,The act of grasping or holding something firmly.
పట్టు,paTTu,పట్టు దుస్తులు పై కొత్త సాంకేతికతను ఉపయోగించి మెరుగైన ఉత్పత్తులు అందిస్తున్నారు.,1,Silk Cloth,Noun,Improved products are being offered using new technology on silk dresses.,"A fine, strong, soft, lustrous fiber produced by silkworms in making cocoons."
పత్రం,patraM,శ్రీదేవి మరణ ధ్రవీకరణ పత్రం మధ్యాహ్నం సమయంలో జారీ అయింది.,0,Certificate,Noun,Sridevi's death certificate was issued in the afternoon.,An official document attesting a certain fact.
పత్రం,patraM,మళ్ళీ ఈ దేశాలన్నీ మానవ హక్కుల పత్రం పాటిస్తామని సంతకాలు చేసిన వారే.,1,Letter,Noun,"Again, all these countries have signed a human rights document/letter.",A letter
పాదం,pAdaM,తన పాదం మీద పోసాను.,0,Foot,Noun,I poured on his foot.,The lower extremity of the leg below the ankle.
పాదం,pAdaM,పై పద్యం ఏ పాదానికి ఆ పాదం విడిపోతుంది.,1,A line in a stanza,Noun,The above poem breaks into stanzas.,A single line of poetry within a stanza.
ప్రగతి,pragati,తెలంగాణ ప్రభుత్వం ప్రతిష్టాత్మకంగా నిర్వహించబోతున్న ప్రగతి నివేదన సభపై హైకోర్టులో పిటిషన్ దాఖలయ్యింది.,0,Progress report,Noun,A petition has been filed in the High Court against the Telangana government's ambitious progress reporting meeting.,A report about how much work has been done on something.
ప్రగతి,pragati,అలాంటి ఓ నూతన ప్రక్రియ ప్రగతి అను లఘుచిత్రం ద్వారా తెలుగు సాహిత్య రంగంలోకి అడుగుపెట్టింది.,1,Refers to name/news paper,Noun,Such a new process entered the field of Telugu literature through the short film Pragati.,Reference to a name or the title of a publication.
ప్రభువు,prabhuvu,ఆ ప్రభువు ఈ ప్రభువు మధ్య తేడా తెలియకున్నది.,0,Master/Ruler,Noun,The difference between that ruler and this ruler is unknown.,A person who has control or dominion over something.
ప్రభువు,prabhuvu,వారెన్నడూ (తమ ప్రభువు సన్నిధిలో) గర్వపడరు.,1,Lord/God,Noun,None of them are proud (in the presence of their Lord).,A deity or supreme being.
ప్రళయం,praLayaM,సర్వభూత ప్రపంచానికీ మూడు విధాల ప్రళయం ఉంటుంది.,0,Apocalypse/deluge,Noun,There will be three types of deluge for the omnipresent world.,"The complete final destruction of the world, especially as described in the biblical book of Revelation."
ప్రళయం,praLayaM,"ఇంకా ఎంతకాలం ఈ ప్రళయం కొనసాగుతుందో, ఎంత నష్టం సంభవిస్తుందో అర్థం కాని పరిస్థితి.",1,Flood,Noun,How long this flood will continue and how much damage is not understood.,An overflow of a large amount of water beyond its normal limits.
ఫలము ,phalamu,ఈ సీజన్‌లో ఆమ్రపాలి మామిడి ఫలము కు భారీ డిమాండ్ నెలకొంది.,0,Fruit,Noun,"This season, there is a huge demand for the fruit of Amrapali mango.",The sweet and fleshy product of a tree or other plant that contains seed.
ఫలము ,phalamu,ఈ సంవత్సరం కృషి చేసిన విద్యార్థులకు పరీక్షలలో మంచి ఫలము లు దక్కాయి.,1,Result/Produce,Noun,Students who worked this year have got good result in the exams.,The outcome or yield of something.
రాశి,rAshi,నీ గోధుమ పంట రాశి అగ్నికి ఆహుతి అవుతూ ఉంది” అని కొండ్యాతో అన్నారు.,0,Heap/Pile,Noun,he said to Kondya that his wheat crop heap is being consumed by fire.,An untidy collection of objects placed haphazardly on top of each other.
రాశి,rAshi,ఈ వారం మీ రాశి ఫలాలు విజయవంతంగా ఉండే అవకాశాలు ఉన్నాయి.,1,Zodiac Sign/horoscope,Noun,Chances say that your horoscope will be successful this week.,"An astrological sign associated with the positions of the sun, moon, and planets."
వేరు,veru,పాటలు అన్నీ చిత్రీకరణ వేరు వేరుగా వుంటుంది.,0,Different,Adjective,Filming of all the songs is different.,Not the same as another or each other.
వేరు,veru,ఇక లిల్లి మొక్కల వేరు భాగంలో ఉండే దుంపలు అత్యంత పోషక విలువలున్నవిగా జపాన్,1,Plant root,Noun,And tubers in the root of lily plants are the most nutritious in Japan,The part of a plant that typically lies below the surface of the soil and absorbs water and nutrients.
శూన్యం,shUnyaM,కానీ ఆచరణలో మాత్రం ఆ నిబద్ధత శూన్యం అని పదే పదే రుజువు అవుతోంది.,0,Null/Void,Adjective,"But in practice, that commitment has been proven time and again to be null and void.",Having no legal or binding force; invalid.
శూన్యం,shUnyaM,ఆ శూన్యం అనేది లేనప్పుడు జీవితం రంగులమయమే కదా.,1,universe,Noun,Isn't life colorful in the absence of that universe?,Feeling or showing grief or unhappiness.
సూత్రం,sUtraM,ఈ సూత్రం ఉపయోగించాలంటే ఫెర్మి- డిరాక్ గణాంకాలు వాడాలి.,0,Principle,Noun,"In order to use this principle, Fermi-Dirac statistics must be used.",A fundamental truth or proposition that serves as the foundation for a system of belief or behavior.
సూత్రం,sUtraM,వాళ్ళు చెప్పినట్టు గానే ఆవిడ మెడలో మంగళ సూత్రం కూడా లేదు.,1,Nuptial Chain,Noun,"As they say, she does not even have the Nuptial Chain on her neck.","A chain worn by a bride, signifying marriage."